filename,document_type,writing_type
PT-PNA-DGFP-0001-002-0015-00063_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00012-00001_m0001.TIF,,handwritten
PT-PNA-DGFP-0001-002-0015-00012-00001_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00012-00001_m0003.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00018-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00018-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00020-00001_m0001.TIF,,handwritten
PT-PNA-DGFP-0001-002-0014-00034_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00034_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00036_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00036_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00037_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00037_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00037_m0003.TIF,,handwritten
PT-PNA-DGFP-0001-002-0014-00038_m0001.TIF,,handwritten
PT-PNA-DGFP-0001-002-0014-00038_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00038_m0003.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00042_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00042_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00020-00001_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00020-00001_m0003.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00028-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00028-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00032-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00032-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00053-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00053-00001_m0002.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0015-00053-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00053-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00061-00002_m0001.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0015-00061-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-001-0001-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-001-0001-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-001-0001-00009_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-001-0001-00009_m0002.TIF,,blank
PT-PNA-DGFP-0003-0001-00017_m0001.TIF,,handwritten
PT-PNA-DGFP-0003-0001-00017_m0002.TIF,,blank
PT-PNA-DGFP-0003-0001-00017_m0003.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0004.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0005.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0006.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0007.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0008.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0009.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0010.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0011.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0012.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0013.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0014.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0015.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0016.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0017.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0018.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0019.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0020.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0021.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0022.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0023.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0024.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0025.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0026.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0027.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0028.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0029.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0030.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0031.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0032.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0033.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0034.TIF,,typewritten
PT-PNA-DGFP-0003-0001-00017_m0035.TIF,,blank
PT-PNA-DGFP-0003-0001-00017_m0036.TIF,,blank
PT-PNA-DGFP-0003-0001-00017_m0037.TIF,,blank
PT-PNA-DGFP-0003-0001-00017_m0038.TIF,,blank
PT-PNA-DGFP-0003-0001-00026_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00026_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00058_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00058_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00058_m0003.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00058_m0004.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00075_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00075_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00075_m0003.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00075_m0004.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00085_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00085_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00085_m0003.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00085_m0004.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00093_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00093_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00097_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00097_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00097_m0003.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00097_m0004.TIF,letter,blank
PT-PNA-DGFP-0001-002-0003-00027-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0003-00027-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0005-00035-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0005-00035-00003_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00054-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00054-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00054-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00054-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00054-00002_m0003.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00054-00002_m0004.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00054-00002_m0005.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00054-00002_m0006.TIF,,blank
PT-PNA-DGFP-0006-0001-00054-00003_m0001.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00054-00003_m0002.TIF,,blank
PT-PNA-DGFP-0006-0001-00054-00003_m0003.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00054-00003_m0004.TIF,,blank
PT-PNA-DGFP-0006-0001-00054-00003_m0005.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00054-00003_m0006.TIF,,blank
PT-PNA-DGFP-0006-0001-00054-00003_m0007.TIF,,blank
PT-PNA-DGFP-0006-0001-00054-00003_m0008.TIF,,blank
PT-PNA-DGFP-0006-0001-00057-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00057-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00057-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00057-00002_m0002.TIF,,blank
PT-PNA-DGFP-0006-0001-00058-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00058-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0001-002-0015-00065-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00065-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0001-002-0015-00065-00002_m0001.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0015-00065-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0004-00001-00013_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0004-00001-00013_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0004-00002-00007_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0004-00002-00007_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0004-00002-00008_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0004-00002-00008_m0002.TIF,,blank
PT-PNA-DGFP-0003-0004-00002-00009_m0001.TIF,letter,handwritten
PT-PNA-DGFP-0003-0004-00002-00009_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0004-00002-00010_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0004-00002-00010_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0004-00002-00016_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0004-00002-00016_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00058-00002_m0001.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00058-00002_m0002.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00058-00002_m0003.TIF,,blank
PT-PNA-DGFP-0006-0001-00058-00002_m0004.TIF,,blank
PT-PNA-DGFP-0006-0001-00059-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00059-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00060-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00060-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00060-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00060-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00061-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00061-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00062-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00062-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00063-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00063-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00063-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00063-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00063-00002_m0003.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00063-00002_m0004.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00063-00002_m0005.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00063-00002_m0006.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00064-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00064-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00065-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00065-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00065-00002_m0001.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00065-00002_m0002.TIF,,blank
PT-PNA-DGFP-0006-0001-00065-00004_m0001.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00065-00004_m0002.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00065-00004_m0003.TIF,,blank
PT-PNA-DGFP-0006-0001-00065-00004_m0004.TIF,,blank
PT-PNA-DGFP-0006-0001-00066-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00066-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00067-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00067-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00068-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00068-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00068-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00068-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00068-00002_m0003.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00068-00002_m0004.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00069-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00069-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00069-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00069-00002_m0002.TIF,,blank
PT-PNA-DGFP-0006-0001-00069-00002_m0003.TIF,,blank
PT-PNA-DGFP-0006-0001-00069-00002_m0004.TIF,,blank
PT-PNA-DGFP-0006-0001-00070-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00070-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00070-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00070-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00071-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00071-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00002-00005_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0002-00002-00005_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00002-00005_m0003.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00002-00005_m0004.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00003-00005_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0002-00003-00005_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00003-00005_m0003.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00003-00005_m0004.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00004-00013_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0002-00004-00013_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00005-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0002-00005-00003_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0002-00005-00007_m0001.TIF,,typewritten
PT-PNA-DGFP-0003-0002-00005-00007_m0002.TIF,,blank
PT-PNA-DGFP-0003-0002-00005-00007_m0003.TIF,,blank
PT-PNA-DGFP-0003-0002-00005-00007_m0004.TIF,,blank
PT-PNA-DGFP-0006-0001-00071-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00071-00002_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00071-00002_m0003.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00071-00002_m0004.TIF,,typewritten
PT-PNA-DGFP-0006-0001-00071-00004_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00071-00004_m0002.TIF,,blank
PT-PNA-DGFP-0006-0001-00071-00004_m0003.TIF,,blank
PT-PNA-DGFP-0006-0001-00071-00004_m0004.TIF,,blank
PT-PNA-DGFP-0006-0001-00071-00005_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00071-00005_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00073-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00073-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00075-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00075-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00078-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00078-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00079-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00079-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00100-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00100-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00101-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00101-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00106-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00106-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00111-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00111-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00112-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00112-00001_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00112-00001_m0003.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00112-00001_m0004.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00114-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00114-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00114-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00114-00002_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00116-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00116-00001_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00116-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00116-00003_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00118-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00118-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00119-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00119-00003_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00119-00004_m0001.TIF,letter,handwritten
PT-PNA-DGFP-0006-0001-00119-00004_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00120-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00120-00001_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00123-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00123-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00124-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00124-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00124-00001_m0003.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00124-00001_m0004.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00126-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00126-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0006-0001-00134-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0006-0001-00134-00001_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00035_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00035_m0002.TIF,letter,blank
PT-PNA-DGFP-0003-0001-00043_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00043_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00043_m0003.TIF,letter,typewritten
PT-PNA-DGFP-0003-0001-00043_m0004.TIF,letter,blank
PT-PNA-DGFP-0005-0002-00013_m0001.TIF,,blank
PT-PNA-DGFP-0005-0002-00013_m0002.TIF,,typewritten
PT-PNA-DGFP-0005-0002-00013_m0003.TIF,,blank
PT-PNA-DGFP-0005-0002-00020_m0001.TIF,,handwritten
PT-PNA-DGFP-0005-0002-00020_m0002.TIF,,handwritten
PT-PNA-DGFP-0005-0002-00020_m0003.TIF,,blank
PT-PNA-DGFP-0005-0002-00020_m0004.TIF,,typewritten
PT-PNA-DGFP-0005-0002-00020_m0005.TIF,,typewritten
PT-PNA-DGFP-0005-0002-00020_m0006.TIF,,typewritten
PT-PNA-DGFP-0005-0002-00020_m0007.TIF,,typewritten
PT-PNA-DGFP-0005-0002-00020_m0008.TIF,,typewritten
PT-PNA-DGFP-0005-0002-00020_m0009.TIF,,blank
PT-PNA-DGFP-0005-0002-00021_m0001.TIF,,handwritten
