file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,opening,closing,morphological_gradient,top_hat,black_hat
PT-TT-SNI-DSC-13-10_m0289,60.76,60.76,59.26,60.0,60.0,54.76,56.8,59.87,39.05,60.76,60.76,60.76,50.6,56.05,53.8
PT-TT-SNI-DSC-13-10_m0291,45.09,45.09,39.19,20.98,50.3,40.86,46.24,40.23,29.85,45.09,45.09,45.09,24.39,41.14,41.45
PT-TT-SNI-DSC-13-10_m0319,70.59,70.59,68.64,69.82,71.01,61.99,64.74,63.91,19.88,70.59,70.59,70.59,8.99,67.88,69.01
PT-TT-SNI-DSC-13-10_m0320,47.06,47.06,48.48,51.06,52.02,46.41,49.18,43.96,39.33,47.06,47.06,47.06,32.79,52.38,49.46
PT-TT-SNI-DSC-13-10_m0321,64.07,64.07,64.07,59.48,65.22,51.72,60.34,52.36,13.91,64.07,64.07,64.07,6.9,59.39,62.07
PT-TT-SNI-DSC-13-10_m0322,51.65,51.65,44.68,41.72,51.09,49.14,51.98,51.14,34.36,51.65,51.65,51.65,31.11,48.96,51.37
PT-TT-SNI-DSC-13-10_m0323,53.5,53.5,48.0,39.81,53.5,53.88,53.01,47.11,41.63,53.5,53.5,53.5,42.26,60.36,51.82
PT-TT-SNI-DSC-13-10_m0372,66.67,66.67,63.97,60.47,66.67,47.68,56.86,57.05,12.78,66.67,66.67,66.67,10.6,64.85,67.11
PT-TT-SNI-DSC-13-10_m0374,63.59,63.59,61.61,62.78,62.73,55.26,62.96,60.91,30.7,63.59,63.59,63.59,45.07,62.04,58.47
PT-TT-SNI-DSC-13-10_m0375,57.55,57.55,59.34,60.74,59.21,60.14,58.18,57.55,51.47,57.55,57.55,57.55,42.81,57.55,57.97
PT-TT-SNI-DSC-13-10_m0376,75.47,75.47,76.23,75.47,75.47,73.68,74.72,76.52,67.88,75.47,75.47,75.47,54.41,75.47,75.19
PT-TT-SNI-DSC-13-10_m0377,77.13,77.13,78.23,76.87,77.13,75.0,78.08,77.4,62.54,77.13,77.13,77.13,60.87,77.13,78.08
PT-TT-SNI-DSC-13-10_m0379,75.78,75.78,75.1,76.38,75.49,73.15,76.19,74.71,68.46,75.78,75.78,75.78,59.0,74.02,71.7
PT-TT-SNI-DSC-13-10_m0380,75.61,75.61,77.3,78.05,75.61,73.94,73.94,73.94,50.0,75.61,75.61,75.61,51.46,73.29,77.3
PT-TT-SNI-DSC-13-10_m0416,65.52,65.52,62.79,64.74,64.37,64.74,63.22,64.0,18.6,65.52,65.52,65.52,3.96,57.99,62.43
PT-TT-SNI-DSC-13-10_m0419,66.67,66.67,68.38,63.25,67.24,60.34,63.25,63.25,36.84,66.67,66.67,66.67,38.66,51.38,61.02
PT-TT-SNI-DSC-13-10_m0420,38.46,38.46,14.74,6.32,41.56,54.43,30.88,17.52,39.74,38.46,38.46,38.46,40.0,60.26,60.65
PT-TT-SNI-DSC-13-10_m0461,48.25,48.25,48.25,42.42,54.98,53.02,49.79,45.96,39.64,48.25,48.25,48.25,41.41,54.88,52.05
PT-TT-SNI-DSC-13-10_m0462,62.22,62.22,60.97,60.45,62.96,48.4,46.43,52.33,12.01,62.22,62.22,62.22,3.07,61.07,60.52
PT-TT-SNI-DSC-13-10_m0484,63.09,63.09,66.45,57.06,61.11,60.19,62.46,58.04,47.84,63.09,63.09,63.09,45.57,67.55,59.33
PT-TT-SNI-DSC-13-10_m0487,59.09,59.09,57.88,55.52,56.77,59.79,58.79,61.24,39.87,59.09,59.09,59.09,46.92,59.09,57.5
PT-TT-SNI-DSC-13-10_m0489,37.55,37.55,10.53,13.79,35.97,61.01,61.54,13.1,41.18,37.55,37.55,37.55,18.79,61.39,61.87
PT-TT-SNI-DSC-13-10_m0491,26.49,26.49,19.55,8.93,25.33,33.9,23.23,18.18,34.25,26.49,26.49,26.49,26.09,25.68,36.26
PT-TT-SNI-DSC-13-10_m0548,58.58,58.58,57.98,55.97,59.07,57.63,61.67,58.72,46.96,58.58,58.58,58.58,43.27,59.23,61.95
PT-TT-SNI-DSC-19-13_2_m0003,60.4,60.4,38.02,24.53,60.81,58.67,58.5,54.67,56.38,60.4,60.4,60.4,40.52,52.41,61.44
PT-TT-SNI-DSC-19-13_3_m0004,53.75,53.75,49.68,48.45,52.23,45.96,51.9,47.8,35.06,53.75,53.75,53.75,32.53,45.57,47.34
PT-TT-SNI-DSC-24-203_m0007,56.0,56.0,53.01,50.6,57.03,44.44,53.7,45.74,12.81,56.0,56.0,56.0,20.19,52.21,52.28
PT-TT-SNI-DSC-35-6-9242_m0676,56.34,56.34,54.42,63.7,55.94,51.75,55.78,52.11,43.84,56.34,56.34,56.34,36.62,55.56,55.56
PT-TT-SNI-DSC-35-8-9363_m0539,24.11,24.11,0.0,1.72,29.11,46.22,4.41,6.8,44.44,24.11,24.11,24.11,28.18,38.3,32.0
PT-TT-SNI-DSC-35-8-9368_m0548,69.72,69.72,69.86,66.04,70.37,63.59,71.43,69.16,54.95,69.72,69.72,69.72,45.07,67.92,68.87
PT-TT-SNI-DSC-9-73_m0003,74.92,74.92,71.79,73.55,72.73,68.15,27.14,59.62,35.57,74.92,74.92,74.92,29.09,70.55,75.73
PT-TT-SNI-DSC-9-73_m0004,71.33,71.33,70.46,73.31,72.28,66.67,18.39,64.16,19.43,71.33,71.33,71.33,33.44,72.28,71.13
PT-TT-SNI-DSC-9-73_m0006,50.0,50.0,41.67,38.3,45.83,19.23,30.0,16.33,0.0,50.0,50.0,50.0,11.54,35.56,38.46
PT-TT-SNI-DSC-9-73_m0007,47.3,47.3,53.69,46.67,46.9,45.52,43.71,36.24,31.11,47.3,47.3,47.3,9.38,45.95,45.33
PT-TT-SNI-DSC-9-73_m0021,73.42,73.42,69.23,70.89,73.42,66.67,0.0,48.1,18.46,73.42,73.42,73.42,37.65,60.0,73.42
PT-TT-SNI-DSC-9-857_m0002,52.54,52.54,46.15,46.55,52.1,79.67,25.81,23.14,0.0,52.54,52.54,52.54,54.14,65.63,79.03
PT-TT-SNI-DSC-9-857_m0004,68.92,68.92,67.11,64.9,68.92,60.65,70.75,61.84,49.32,68.92,68.92,68.92,46.58,64.38,65.36
PT-TT-SNI-DSC-9-857_m0005,71.01,71.01,73.38,73.62,71.61,67.31,69.74,70.13,58.52,71.01,71.01,71.01,41.36,72.67,77.12
PT-TT-SNI-DSC-9-857_m0006,67.16,67.16,70.15,68.15,67.67,66.18,68.18,64.18,37.31,67.16,67.16,67.16,39.71,68.15,70.15
PT-TT-SNI-DSC-9-857_m0007,66.67,66.67,67.65,66.18,66.67,62.77,66.18,65.69,36.62,66.67,66.67,66.67,34.01,61.31,67.65
PT-TT-SNI-DSC-9-857_m0008,72.28,72.28,74.0,73.27,74.0,75.25,74.63,63.41,55.24,72.28,72.28,72.28,57.0,73.63,72.2
PT-TT-SNI-DSC-9-857_m0009,77.06,77.06,78.5,71.3,77.78,74.77,67.29,74.77,47.79,77.06,77.06,77.06,49.18,32.43,74.77
PT-TT-SNI-DSC-9-857_m0010,71.34,71.34,72.61,71.34,71.34,67.92,68.79,70.51,27.33,71.34,71.34,71.34,37.58,71.34,70.89
PT-TT-SNI-DSC-9-857_m0013,58.26,58.26,57.89,60.26,59.74,32.26,59.91,53.28,0.0,58.26,58.26,58.26,41.95,57.02,51.35
PT-TT-SNI-DSC-9-857_m0021,52.38,52.38,58.27,53.54,55.56,42.19,45.31,37.8,18.9,52.38,52.38,52.38,12.5,48.33,50.79
PT-TT-SNI-DSC-9-857_m0022,3.7,3.7,6.82,3.26,4.55,48.25,3.28,1.22,53.98,3.7,3.7,3.7,53.96,19.92,58.06
PT-TT-SNI-DSC-9-857_m0023,38.65,38.65,40.68,27.05,38.01,36.24,41.06,31.35,28.46,38.65,38.65,38.65,30.34,36.67,40.56
PT-TT-SNI-DSC-9-857_m0024,51.2,51.2,44.62,46.03,45.26,47.06,43.55,32.35,55.67,51.2,51.2,51.2,50.0,48.82,48.82
PT-TT-SNI-DGE-1-3835_m0004,55.56,62.96,62.96,64.15,55.56,55.56,59.26,45.28,62.96,55.56,55.56,55.56,16.39,59.26,52.63
PT-TT-SNI-DGE-1-3835_m0005,36.36,36.36,36.36,36.36,36.36,25.0,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,0.0
PT-TT-SNI-DGE-1-3835_m0006,34.78,41.86,40.0,40.0,40.0,26.67,39.13,33.33,40.0,34.78,39.13,34.78,7.27,38.3,38.3
PT-TT-SNI-DGE-1-3919_m0007,58.54,61.16,56.45,58.06,58.06,52.03,58.54,49.6,58.54,58.54,59.02,58.54,29.23,59.02,53.97
PT-TT-SNI-DGE-1-3919_m0008,60.32,73.68,72.41,72.41,59.38,57.63,61.29,62.3,60.32,60.32,61.29,60.32,42.11,62.3,60.32
PT-TT-SNI-DGE-1-3919_m0118,46.43,50.0,50.0,45.61,42.55,44.0,44.9,40.0,0.0,46.43,43.64,46.43,13.56,41.67,37.5
PT-TT-SNI-DGE-1-3919_m0119,41.51,19.05,5.88,22.22,17.78,45.61,22.22,30.51,0.0,41.51,45.61,41.51,33.33,40.74,41.51
PT-TT-SNI-DGE-1-3919_m0120,52.63,43.24,42.11,51.43,47.37,48.65,35.29,42.11,0.0,52.63,35.29,52.63,22.22,50.0,52.63
PT-TT-SNI-DGE-1-4097_m0001,0.0,6.9,6.67,7.41,0.0,8.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
PT-TT-SNI-DGE-1-4097_m0002,36.36,30.0,30.0,28.57,30.0,34.78,42.11,0.0,0.0,36.36,36.36,36.36,0.0,31.58,31.58
PT-TT-SNI-DGE-1-5107_m0002,21.43,48.48,48.48,52.94,52.94,43.24,16.0,21.43,52.94,21.43,21.43,21.43,19.35,21.43,20.0
PT-TT-SNI-DGE-1-5107_m0003,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,0.0
PT-TT-SNI-DGE-1-5527_m0005,16.0,48.48,52.94,52.94,52.94,45.71,52.94,16.0,52.94,16.0,21.43,16.0,20.0,37.5,7.41
PT-TT-SNI-DGE-1-5527_m0006,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,20.0,15.38
PT-TT-SNI-DGE-1-5583_m0002,38.81,45.33,47.37,44.16,43.04,24.56,43.84,34.78,50.63,38.81,39.47,38.81,8.33,38.81,37.04
PT-TT-SNI-DGE-1-5583_m0003,55.7,57.5,57.14,58.23,55.7,22.22,53.85,53.85,42.86,55.7,55.7,55.7,0.0,55.7,46.75
PT-TT-SNI-DGE-1-5964_m0003,19.35,19.35,19.35,19.35,19.35,37.84,19.35,19.35,19.35,19.35,19.35,19.35,4.88,19.35,12.9
PT-TT-SNI-DGE-1-5964_m0004,36.36,36.36,36.36,36.36,36.36,0.0,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,16.67
PT-TT-SNI-DGE-1-7208_m0004,62.22,37.93,56.3,41.32,62.69,52.11,61.07,42.03,62.5,62.22,57.14,62.22,26.28,64.66,52.86
PT-TT-SNI-DGE-1-7208_m0005,50.66,54.13,51.35,54.46,55.86,53.74,48.0,45.13,53.21,50.66,54.46,50.66,15.25,52.02,51.35
PT-TT-SNI-DGE-1-7208_m0012,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,0.0
PT-TT-SNI-DGE-1-7325_m0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DSC-13-12_m0001,57.14,60.61,60.61,58.82,60.61,60.61,60.61,58.82,60.61,57.14,58.82,57.14,11.43,57.14,45.71
PT-TT-SNI-DSC-19-81_m0001,6.9,12.5,12.12,14.81,16.67,19.51,13.79,7.14,0.0,6.9,9.09,6.9,16.0,7.69,16.0
PT-TT-SNI-DSC-24-210_m0001,13.16,14.71,14.71,17.39,18.6,10.99,14.63,16.22,0.0,13.16,15.84,13.16,6.99,15.38,12.82
PT-TT-SNI-DSC-9-169_m0001,23.91,24.0,30.11,24.0,28.26,16.36,22.99,19.35,22.99,23.91,26.67,23.91,8.62,23.91,19.57
PT-TT-SNI-DSC-9-24_m0001,37.5,50.0,50.0,50.47,39.02,23.01,41.74,42.11,43.64,37.5,29.36,37.5,18.46,37.4,35.48
PT-TT-SNI-DSC-9-417_m0002,34.59,39.02,30.89,32.59,36.64,24.24,33.93,25.95,34.07,34.59,34.92,34.59,5.37,34.59,31.5
PT-TT-SNI-DSC-9-6-1_m0002,36.36,56.0,60.61,56.0,57.43,35.29,39.62,39.62,56.86,36.36,45.71,36.36,14.68,36.36,26.55
PT-TT-SNI-DSC-9-848_m0000,18.49,26.45,35.09,29.23,33.33,13.14,28.8,18.8,28.83,18.49,26.85,18.49,1.9,18.49,24.11
PT-TT-SNI-DGE-1-6745_m0006,44.83,44.83,40.0,21.82,44.07,25.53,44.07,37.93,0.0,44.83,44.83,44.83,3.85,6.9,43.64
PT-TT-SNI-DSC-35-1-2182_m0673,21.43,21.43,25.0,4.17,29.63,37.65,22.22,21.05,27.59,21.43,21.43,21.43,9.64,48.0,25.4
PT-TT-SNI-DSC-35-1-2191_m0679,64.79,64.79,70.27,35.71,64.94,55.26,63.29,69.44,64.2,64.79,64.79,64.79,36.36,53.76,56.41
PT-TT-SNI-DSC-35-1-2193_m0681,64.1,64.1,62.79,41.67,64.1,58.97,57.14,63.29,61.36,64.1,64.1,64.1,21.92,64.1,64.1
PT-TT-SNI-DSC-35-1-2195_m0683,61.11,61.11,66.67,23.26,65.38,49.09,56.36,57.41,56.36,61.11,61.11,61.11,20.0,60.55,57.41
PT-TT-SNI-DSC-35-1-2219_m0705,65.96,65.96,65.61,5.13,70.21,61.14,53.97,60.73,49.7,65.96,65.96,65.96,30.11,70.21,67.72
PT-TT-SNI-DSC-35-2-6467_m0002,39.37,39.37,33.33,18.69,41.44,36.54,35.51,41.94,40.0,39.37,39.37,39.37,6.19,41.38,37.5
PT-TT-SNI-DSC-35-2-6474_m0009,29.63,29.63,25.29,7.41,25.58,24.44,26.51,24.1,20.25,29.63,29.63,29.63,10.67,29.89,32.5
PT-TT-SNI-DSC-35-2-6488_m0023,22.47,22.47,23.53,8.57,21.92,16.67,31.58,22.22,22.22,22.47,22.47,22.47,2.82,22.22,25.32
PT-TT-SNI-DSC-35-2-6506_m0039,37.33,37.33,34.88,2.94,35.71,29.55,37.5,31.17,36.36,37.33,37.33,37.33,23.68,37.21,35.29
PT-TT-SNI-DSC-35-2-6535_m0086,54.76,54.76,58.7,21.54,66.67,56.25,59.57,56.1,58.33,54.76,54.76,54.76,32.0,57.5,58.7
PT-TT-SNI-DSC-35-2-6550_m0102,45.9,45.9,44.93,21.85,45.11,41.18,48.92,47.54,53.33,45.9,45.9,45.9,2.13,45.9,43.75
PT-TT-SNI-DSC-35-2-6557_m0043,28.81,28.81,29.63,19.75,29.09,35.71,36.7,36.21,33.33,28.81,28.81,28.81,7.32,34.48,34.23
PT-TT-SNI-DSC-35-2-6586_m0073,37.11,37.11,35.29,19.35,29.55,26.37,32.94,37.11,34.04,37.11,37.11,37.11,8.82,34.34,34.04
PT-TT-SNI-DSC-35-2-6622_m0161,45.09,45.09,46.43,27.07,48.0,47.27,48.52,44.57,41.46,45.09,45.09,45.09,18.29,45.09,50.91
PT-TT-SNI-DSC-35-2-6738_m0277,56.86,56.86,56.19,48.15,59.91,51.35,60.91,56.86,0.0,56.86,56.86,56.86,17.51,56.86,56.86
PT-TT-SNI-DSC-35-2-6782_m0322,52.63,52.63,47.85,38.55,54.44,38.37,49.71,48.84,50.0,52.63,52.63,52.63,17.33,52.63,53.41
PT-TT-SNI-DSC-35-2-6796_m0337,52.27,52.27,47.19,31.71,49.71,50.54,53.12,52.57,49.48,52.27,52.27,52.27,21.95,52.27,42.64
PT-TT-SNI-DSC-35-2-6856_m0389,48.31,48.31,25.32,0.0,50.78,45.1,45.41,50.72,20.0,48.31,48.31,48.31,21.15,51.96,51.04
PT-TT-SNI-DSC-35-2-6858_m0391,48.35,48.35,39.58,0.0,45.54,48.6,50.49,46.67,43.48,48.35,48.35,48.35,20.37,53.06,44.9
PT-TT-SNI-DSC-35-2-6904_m0438,16.98,16.98,9.2,0.0,15.84,16.06,11.24,14.81,11.24,16.98,16.98,16.98,5.94,17.57,12.73
PT-TT-SNI-DSC-35-2-6935_m0469,66.46,66.46,65.0,15.64,67.29,63.5,65.22,65.83,0.0,66.46,66.46,66.46,39.76,66.46,65.03
PT-TT-SNI-DSC-35-2-6935_m0470,57.55,57.55,60.29,12.5,60.29,54.55,58.02,58.16,56.93,57.55,57.55,57.55,34.78,57.55,58.39
PT-TT-SNI-DSC-35-2-6966_m0501,53.38,53.38,48.95,0.0,55.15,57.93,56.75,59.11,33.33,53.38,53.38,53.38,24.67,56.16,52.26
PT-TT-SNI-DSC-35-2-7053_m0590,48.92,48.92,45.21,4.71,46.75,43.42,47.3,48.23,50.0,48.92,48.92,48.92,26.03,44.29,44.16
PT-TT-SNI-DSC-35-2-7078_m0616,43.86,43.86,41.82,23.01,44.63,51.56,48.39,47.86,50.0,43.86,43.86,43.86,15.65,43.86,40.35
PT-TT-SNI-DSC-35-2-7169_m0700,21.77,21.77,23.47,2.5,23.94,29.27,27.17,21.31,31.54,21.77,21.77,21.77,21.83,21.77,26.56
PT-TT-SNI-DSC-35-2-7178_m0709,35.71,35.71,33.94,0.0,38.27,40.46,37.87,35.93,32.84,35.71,35.71,35.71,16.06,35.71,39.37
PT-TT-SNI-DSC-35-3-703_m0458,45.16,45.16,34.48,3.92,48.35,33.68,36.96,43.96,39.51,45.16,45.16,45.16,10.75,32.1,38.3
PT-TT-SNI-DSC-35-3-726_m0480,44.94,44.94,60.22,22.54,36.11,50.0,27.78,40.0,28.12,44.94,44.94,44.94,5.63,38.46,44.94
PT-TT-SNI-DSC-35-4-2431_m0200,50.49,50.49,52.43,23.91,52.94,45.87,50.47,50.0,54.55,50.49,50.49,50.49,18.18,51.38,46.85
PT-TT-SNI-DSC-35-4-2565_m0285,65.15,65.15,71.54,34.55,70.97,69.29,68.25,64.12,54.55,65.15,65.15,65.15,14.29,65.15,72.88
PT-TT-SNI-DSC-35-4-2803_m0513,25.0,25.0,25.35,0.0,22.54,37.5,18.42,25.0,15.79,25.0,25.0,25.0,18.33,53.1,24.0
PT-TT-SNI-DSC-35-4-2868_m0563,68.09,68.09,69.01,21.54,66.67,63.83,66.19,68.09,71.01,68.09,68.09,68.09,36.49,69.5,67.61
PT-TT-SNI-DSC-35-4-2896_m0582,63.81,63.81,64.42,13.1,65.02,49.04,53.2,58.1,64.36,63.81,63.81,63.81,24.55,66.34,61.24
PT-TT-SNI-DSC-35-4-3089_m0737,15.69,15.69,14.74,6.12,17.82,13.86,16.36,15.84,15.69,15.69,15.69,15.69,5.45,17.65,13.73
PT-TT-SNI-DSC-35-4-3165_m0812,65.87,65.87,66.14,31.8,65.86,62.35,67.47,60.32,68.8,65.87,65.87,65.87,32.31,65.87,66.93
PT-TT-SNI-DSC-35-4-3858_m0904,35.82,35.82,39.39,15.38,30.99,35.82,42.11,33.33,41.94,35.82,35.82,35.82,29.41,31.58,38.71
PT-TT-SNI-DSC-35-4-3926_m0972,62.07,62.07,63.95,3.92,61.27,50.0,59.52,61.27,59.88,62.07,62.07,62.07,30.94,62.07,62.15
PT-TT-SNI-DSC-35-5-4347_m0076,72.06,72.06,62.68,25.53,72.24,60.14,71.79,68.13,71.54,72.06,72.06,72.06,3.48,74.05,72.06
PT-TT-SNI-DSC-35-5-4347_m0077,71.15,71.15,72.55,34.0,71.15,63.46,67.96,66.67,71.84,71.15,71.15,71.15,18.0,65.35,71.15
PT-TT-SNI-DSC-35-5-4581_m0288,53.33,53.33,11.11,0.0,38.85,58.6,19.05,60.0,7.23,53.33,53.33,53.33,16.67,52.35,52.83
PT-TT-SNI-DSC-35-5-4666_m0370,58.44,58.44,51.66,9.2,59.15,52.17,60.0,55.48,33.9,58.44,58.44,58.44,15.95,61.04,52.76
PT-TT-SNI-DSC-35-5-4683_m0384,52.38,52.38,50.6,3.77,44.94,42.7,47.73,42.35,50.57,52.38,52.38,52.38,18.18,47.06,46.15
PT-TT-SNI-DSC-35-5-4685_m0386,41.48,41.48,39.44,8.99,42.03,35.06,36.62,40.29,35.94,41.48,41.48,41.48,9.09,37.24,43.8
PT-TT-SNI-DSC-35-5-4772_m0468,59.7,59.7,62.69,0.0,61.11,52.05,55.56,59.7,36.36,59.7,59.7,59.7,12.5,58.33,64.79
PT-TT-SNI-DSC-35-5-4852_m0542,22.56,22.56,12.02,1.04,21.82,40.53,8.61,19.77,7.44,22.56,22.56,22.56,7.08,32.45,17.21
PT-TT-SNI-DSC-35-5-4904_m0592,58.59,58.59,59.18,30.23,50.51,43.64,56.0,54.55,46.6,58.59,58.59,58.59,3.7,55.45,48.98
PT-TT-SNI-DSC-35-5-4969_m0656,32.43,32.43,35.82,0.0,45.57,30.11,49.38,32.43,36.11,32.43,32.43,32.43,4.21,53.85,44.44
PT-TT-SNI-DSC-35-5-4995_m0682,45.57,45.57,37.97,10.53,44.71,34.78,34.57,40.51,23.88,45.57,45.57,45.57,5.71,37.97,41.98
PT-TT-SNI-DSC-35-5-5102_m0773,50.72,50.72,51.85,12.99,52.55,47.55,51.47,49.28,54.14,50.72,50.72,50.72,23.13,50.36,48.92
PT-TT-SNI-DSC-35-5-5260_m0915,40.0,40.0,38.3,10.71,37.5,33.33,37.89,37.36,39.56,40.0,40.0,40.0,9.64,37.89,38.78
PT-TT-SNI-DSC-35-5-5355_m0977,49.04,49.04,49.3,24.34,47.32,42.61,51.61,48.08,50.46,49.04,49.04,49.04,9.85,51.92,50.98
PT-TT-SNI-DSC-35-5-5413_m1037,46.75,46.75,38.89,4.44,46.75,38.96,40.51,37.5,43.48,46.75,46.75,46.75,27.03,36.62,38.55
